1
0
0
0x38
0x38
0xaf923200 0x372daf00 0xff892900
0x73371d00
0x3c
-1 63 -4
-1 62 -7
-1 61 -5
-1 60 -153
-1 61 -3
-1 62 -4
-1 63 -13
-1 64 -10
-1 65 -3
-1 66 -12
-1 66 16
-1 66 -8
-1 67 -13
-1 68 -18
-1 69 -3
-1 70 -17
-1 69 -9
-1 68 -3
-1 67 -3
-1 66 -4
-1 65 -24
-1 64 -2
-1 64 1
-1 64 -40
-1 65 -6
-1 66 -19
-1 67 -6
-1 67 1
-1 67 -32
-1 68 -3
-1 69 -6
-1 70 -4
-1 71 -4
-1 72 -6
-1 73 -2
-1 73 1
-1 73 -1
-1 74 -5
-1 75 -4
-1 76 -9
-1 77 -1
-1 78 -1
-1 79 0
-1 80 -1
-1 81 0
-1 82 0
-1 83 -1
-1 85 -1
-1 86 -2
-1 88 -2
-1 90 -1
-1 92 -1
-1 94 -1
-1 95 -1
-1 97 -1
-1 99 -1
-1 102 -1
-1 104 -1
-1 107 -1
-1 109 -1
-1 112 0
-1 115 0
-1 119 0
-1 121 0
-1 124 0
-1 126 0
-1 128 0
-1 132 0
-1 133 0
-1 136 0
-1 139 0
-1 142 0
-1 145 0
-1 148 0
-1 150 0
-1 154 -1
-1 156 -1
-1 160 0
-1 162 0
-1 164 0
-1 165 0
-1 167 0
-1 170 0
-1 172 0
-1 175 0
-1 180 -1
-1 185 0
-1 187 0
-1 190 0
-1 191 0
-1 194 0
-1 196 0
-1 199 0
-1 202 0
-1 209 0
-1 215 0
-1 218 0
-1 221 0
-1 227 0
-1 233 0
-1 238 0
-1 245 0
-1 251 0
-1 258 0
-1 263 0
-1 268 0
-1 274 -1
-1 278 0
-1 282 0
-1 288 0
-1 292 0
-1 299 0
-1 304 0
-1 307 0
-1 309 0
-1 314 0
-1 316 0
-1 320 0
-1 321 0
-1 329 0
-1 334 0
-1 341 0
-1 346 0
-1 353 0
-1 359 0
-1 363 0
-1 367 0
-1 372 0
-1 377 0
-1 383 0
-1 388 -1
-1 391 0
-1 393 0
-1 394 0
-1 396 -1
-1 397 0
-1 398 -1
-1 399 -1
-1 400 0
-1 402 0
-1 403 -6
-1 404 0
-1 403 0
-1 404 -5
-1 404 1
-1 404 -5
-1 403 0
-1 401 -3
-1 400 -1
-1 399 -1
-1 398 -1
